;skelbimas
0;Vilnius, Burbiškės,Burbiškių g.
1;200 860 €
2;3453€/m²
3;58.17
4;3
;skelbimas
0;Kaunas, Vilijampolė,Raudondvario pl.
1;47 500 €
2;2317€/m²
3;20.5
4;2
;skelbimas
0;Vilnius, Senamiestis,Teatro g.
1;390 000 €
2;6725€/m²
3;57.99
4;2
;skelbimas
0;Vilnius, Antakalnis,Duburio g.
1;168 500 €
2;2462€/m²
3;68.44
4;3
;skelbimas
0;Palanga,S. Daukanto g.
1;435 000 €
2;5959€/m²
3;73
4;4
;skelbimas
0;Palanga,S. Daukanto g.
1;312 000 €
2;6933€/m²
3;45
4;3
;skelbimas
0;Kaunas, Žaliakalnis,Žeimenos g.
1;199 000 €
2;2647€/m²
3;75.19
4;3
;skelbimas
0;Vilnius, Šnipiškės,Kalvarijų g.
1;127 750 €
2;3901€/m²
3;32.75
4;1
;skelbimas
0;Vilnius, Šnipiškės,Konstitucijos pr.
1;324 000 €
2;5438€/m²
3;59.58
4;2
;skelbimas
0;Kaunas, Žaliakalnis,Žemaičių g.
1;100 737 €
2;1564€/m²
3;64.42
4;2
;skelbimas
0;Kaunas, Vaišvydava,Tursono g.
1;195 000 €
2;952€/m²
3;204.84
4;4
;skelbimas
0;Klaipėda, Senamiestis,Teatro g.
1;170 000 €
2;4545€/m²
3;37.4
4;1
;skelbimas
0;Palanga, Palanga,Saulėlydžio g.
1;179 000 €
2;2183€/m²
3;82
4;3
;skelbimas
0;Klaipėda, Mokykla,Mokyklos g.
1;108 000 €
2;2616€/m²
3;41.29
4;2
;skelbimas
0;Vilnius, Paupys,Aukštaičių g.
1;690 000 €
2;6635€/m²
3;104
4;4
;skelbimas
0;Palanga,Vėžių g.
1;173 000 €
2;3604€/m²
3;48
4;2
;skelbimas
0;Vilnius, Naujininkai,Kapsų g.
1;249 000 €
2;4058€/m²
3;61.36
4;3
;skelbimas
0;Palanga, Palanga,Vėžių g.
1;160 000 €
2;3478€/m²
